,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_mhh_age,num_hh_ann_incm
19,2,2,3,9,4,1,4,52.8,2,1,1,6,1,1,4,3,1,7609.08447,35,12000000
20,2,2,2,1,5,2,4,49.5,1,1,1,6,1,3,4,3,3,13963.23,67,25000000
21,1,1,3,14,4,1,5,112.2,3,1,2,6,1,3,4,4,3,11656.42147,67,18000000
22,1,1,2,2,3,2,2,56.1,2,1,1,7,5,3,3,2,5,13826.34,55,25000000
23,3,2,3,5,5,1,3,46.2,2,1,1,8,1,1,3,4,1,5587.5235429,35,25000000
24,3,2,1,1,6,1,3,33.0,1,0,1,4,5,1,3,1,5,14145.12,67,12000000
25,3,1,3,20,5,2,5,108.9,3,1,2,10,1,3,5,3,3,16441.47,55,6
26,1,2,1,2,6,4,6,42.9,2,1,1,6,5,1,3,2,4,10915.777223,67,18000000
27,3,1,1,1,6,1,2,49.5,2,1,1,6,2,1,3,2,3,6975.72,55,25000000
28,3,2,3,3,4,3,4,36.3,2,1,1,5,1,3,4,1,3,9356.3549534,67,18000000
29,3,1,1,2,4,3,2,99.0,3,1,1,6,2,3,3,3,4,10147.96,25,18000000
30,2,1,1,2,3,1,2,105.6,3,1,1,5,2,3,3,5,1,16239.34,45,54000000
31,1,2,2,1,5,2,5,59.4,2,1,1,2,1,1,4,3,1,12848.921676,45,25000000
32,3,1,3,10,3,2,5,122.1,3,1,2,14,1,3,4,4,1,9434.24,55,66000000
33,3,2,2,3,4,2,4,79.19999999999999,3,1,1,8,1,3,4,5,3,12501.283192,55,42000000
34,1,2,1,1,3,1,3,69.3,2,1,1,7,1,3,5,4,1,14308.31,45,4
35,1,1,3,10,3,2,5,99.0,3,1,2,10,1,3,5,3,1,6143.553128,45,8
36,3,1,3,6,4,3,5,105.6,3,1,1,8,1,3,4,1,5,6625.719695,67,12000000
37,3,2,3,7,4,2,5,59.4,2,1,1,8,3,1,4,2,5,9121.5980929,67,12000000
38,1,1,1,2,5,1,3,49.5,2,1,1,5,1,3,4,4,1,13810.613708,35,54000000
39,2,1,3,8,6,1,4,138.6,4,1,2,13,1,3,5,4,2,10643.701699,55,5
40,1,1,1,2,5,3,3,112.2,3,1,2,15,1,3,4,4,1,20127.790581,55,4
41,3,1,3,10,6,1,4,75.89999999999999,3,1,1,11,1,1,4,4,1,8876.7073413,55,42000000
42,2,2,1,1,6,1,4,49.5,2,1,1,8,2,3,3,4,3,14779.44,45,54000000
43,2,2,3,3,2,1,3,66.0,3,1,1,16,1,3,4,1,5,5155.08,67,2
44,1,2,1,2,5,3,2,62.7,2,1,1,6,2,3,3,1,5,9231.2,55,42000000
45,2,2,1,2,5,3,1,72.6,2,1,1,7,5,3,3,1,3,24519.92,55,25000000
46,3,1,3,6,4,1,5,89.1,3,1,1,12,1,3,4,3,1,9655.7433777,35,4
47,3,2,1,1,4,1,1,66.0,1,1,1,2,5,1,3,1,5,14044.32,67,12000000
48,3,2,1,1,6,2,4,82.5,4,1,1,8,2,3,3,4,3,16850.99,35,42000000
49,2,1,2,2,4,1,4,194.7,4,1,2,18,1,3,4,5,3,14559.7422,55,54000000
50,2,2,3,9,3,2,5,125.4,3,1,2,14,1,3,4,2,5,7736.811677,55,25000000
51,1,2,3,3,2,1,4,102.3,3,1,1,8,1,3,5,5,3,16115.048732,45,4
52,3,2,1,1,6,1,4,132.0,3,1,1,7,4,3,5,2,5,23463.38,67,54000000
53,3,2,1,1,6,2,4,75.89999999999999,3,1,2,8,2,1,3,1,4,10078.28,67,18000000
54,1,1,3,2,3,4,3,82.5,2,1,1,1,1,3,5,4,1,19270.5254,55,66000000
55,1,1,3,12,3,1,5,112.2,3,1,2,3,1,3,5,4,3,15596.64,45,42000000
56,1,1,3,11,2,2,4,108.9,3,1,2,20,1,3,4,3,1,12214.92,55,66000000
57,2,2,3,2,2,1,4,56.1,2,1,1,7,1,1,4,3,1,9531.6290974,35,42000000
58,2,2,1,1,6,1,4,59.4,2,1,1,14,4,3,3,1,5,15289.08,67,1
59,3,2,1,1,6,1,3,99.0,3,1,1,6,5,3,3,3,3,4566.6,45,5
60,2,2,1,1,6,2,5,95.7,3,1,1,15,2,3,3,2,3,14896.96,67,12000000
