,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_tot_gas_heat,num_mhh_age,num_hh_ann_incm
874,HS2404000008,HH12240026,3,1,2,2,4,2,5,52.8,1,1,1,7,1,3,4,3,1,8552.66,7905.94,25,18000000
875,HS2404000009,HH12240027,3,1,1,2,4,2,4,108.89999999999999,3,1,1,16,1,1,4,4,1,20327.46,13746.74,35,42000000
876,HS2404000010,HH14240004,3,1,1,2,4,2,5,66.0,2,1,1,6,2,3,3,4,1,11108.22,0.0,35,42000000
877,HS2404000011,HH13240006,3,1,1,1,5,2,4,118.8,3,1,2,5,2,1,3,2,3,5668.95,0.0,55,42000000
878,HS2404000012,HH12240028,3,1,3,7,4,3,4,105.6,3,1,2,10,1,3,4,2,1,10661.51,7999.81,35,25000000
879,HS2404000013,HH12240029,3,1,3,7,4,3,4,105.6,3,1,2,7,1,3,4,3,1,21808.56,18085.62,67,42000000
880,HS2404000014,HH11240017,3,1,1,1,6,2,2,72.6,2,1,1,14,2,3,3,2,1,13491.39,0.0,35,25000000
881,HS2404000015,HH16240010,3,1,3,4,6,1,6,112.19999999999999,3,1,2,12,1,3,4,4,3,12108.83,9543.45,55,54000000
882,HS2404000016,HH15240018,3,1,1,2,4,1,3,66.0,3,1,1,15,1,1,4,4,3,26675.25,23707.39,55,54000000
883,HS2404000017,HH11240018,3,1,3,11,4,1,4,79.19999999999999,3,1,1,9,1,1,4,4,2,5181.056523,1961.216523,55,18000000
884,HS2404000018,HH11240019,3,1,3,11,4,1,4,79.19999999999999,3,1,1,9,1,1,4,1,5,12505.83,10002.37,67,12000000
885,HS2404000019,HH12240030,3,1,3,12,4,1,4,79.19999999999999,3,1,1,7,1,3,4,2,1,12816.72,10450.86,45,66000000
886,HS2404000020,HH12240031,3,1,3,12,4,1,4,79.19999999999999,3,1,1,9,1,3,4,4,1,18357.83,15926.61,55,42000000
887,HS2404000021,HH15240019,3,1,3,16,4,1,4,105.6,3,1,2,8,1,3,4,4,1,12203.88,9178.4,55,54000000
888,HS2404000022,HH14240005,3,1,3,16,4,1,5,79.19999999999999,3,1,1,12,1,3,4,4,3,10749.350427,8685.3504267,55,42000000
889,HS2404000023,HH15240020,3,1,3,8,4,1,5,79.19999999999999,3,1,1,10,1,3,4,2,1,24927.75,22893.85,55,25000000
890,HS2405000001,HH11240001,3,1,1,1,5,3,1,33.0,1,1,1,8,2,3,3,2,1,11124.41,0.0,45,42000000
891,HS2405000002,HH14240001,3,1,1,1,6,1,3,128.7,3,1,1,10,5,1,3,1,5,13309.4,0.0,67,12000000
892,HS2405000003,HH12240001,3,1,3,10,4,2,4,75.89999999999999,3,1,1,9,1,3,4,2,1,13725.03,11525.15,55,25000000
893,HS2405000004,HH12240002,3,1,3,11,4,2,4,75.89999999999999,3,1,1,9,1,1,4,4,1,10149.3,6320.58,45,25000000
894,HS2405000005,HH13240001,3,1,3,2,4,2,4,75.89999999999999,3,1,1,10,1,1,4,2,5,5099.593188,2947.013188,67,18000000
895,HS2405000006,HH12240003,3,1,3,3,4,2,4,75.89999999999999,3,1,1,6,1,3,4,2,1,17610.37,16322.95,55,42000000
896,HS2405000007,HH13240002,3,1,3,3,4,2,4,75.89999999999999,3,1,1,10,1,1,4,4,3,23925.83,21913.43,45,42000000
897,HS2405000008,HH12240004,3,1,3,4,4,2,4,75.89999999999999,3,1,1,9,1,3,4,2,1,7263.53,5705.21,45,54000000
898,HS2405000009,HH12240005,3,1,3,9,4,2,4,75.89999999999999,3,1,1,9,1,3,4,2,1,25146.03,22226.33,55,42000000
899,HS2405000010,HH11240002,3,1,1,1,5,2,5,95.69999999999999,3,1,2,10,2,3,3,4,1,9107.09,0.0,45,42000000
900,HS2405000011,HH13240003,3,1,1,1,6,2,4,59.4,2,1,1,6,1,3,3,4,1,4155.6,0.0,45,42000000
901,HS2405000012,HH12240006,3,1,1,1,5,2,1,49.5,2,1,1,3,2,1,3,4,1,7835.27,0.0,55,25000000
903,HS2405000014,HH11240003,3,1,1,1,6,1,2,99.0,3,1,1,5,2,3,3,2,2,16412.34,0.0,45,18000000
904,HS2405000015,HH12240007,3,1,1,1,5,3,3,122.1,4,1,1,5,1,1,4,4,1,9731.87,7186.27,45,42000000
905,HS2405000016,HH12240008,3,1,1,1,5,4,3,95.69999999999999,3,1,1,8,1,1,4,2,2,9724.77,8959.37,67,18000000
906,HS2405000017,HH12240009,3,1,1,1,5,3,3,85.8,4,1,1,10,1,3,4,4,3,28432.21,24520.93,45,42000000
907,HS2405000018,HH12240010,3,1,3,15,4,2,4,66.0,2,1,1,8,1,1,4,2,1,23192.78,20985.16,35,25000000
908,HS2405000019,HH12240011,3,1,3,18,4,2,4,89.1,3,1,1,8,1,1,4,2,1,16655.55,13611.15,35,42000000
909,HS2405000020,HH12240012,3,1,3,4,4,2,4,89.1,3,1,1,7,1,3,4,4,1,23866.89,20891.29,55,66000000
910,HS2405000021,HH12240013,3,1,3,5,4,2,4,89.1,3,1,1,8,1,3,4,3,1,4333.560593,2348.680593,45,25000000
911,HS2405000022,HH15240001,3,1,3,7,4,4,4,79.19999999999999,3,1,1,8,1,1,4,2,1,14743.4,12516.0,55,42000000
912,HS2405000023,HH12240014,3,1,3,13,4,4,5,56.099999999999994,1,1,1,5,1,1,4,2,3,21711.82,17230.36,55,18000000
913,HS2405000024,HH15240002,3,1,1,2,5,1,4,82.5,3,1,1,7,1,3,4,4,1,8300.33,5100.27,55,54000000
